시설명,시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자,제공기관코드,제공기관명
내봉마을회관,마을회관및경로당,전라북도 진안군 백운면 내동길 12,전라북도 진안군 백운면 덕현리 825,35.69642603,127.3858127,영업,,1986-01-09,80,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
대유마을회관,마을회관및경로당,전라북도 진안군 백운면 대전길 52,전라북도 진안군 백운면 신암리 698-1,35.66054359,127.4247634,영업,,2000-01-01,90,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
동산회관,마을회관및경로당,전라북도 진안군 백운면 동산길 34,전라북도 진안군 백운면 덕현리 442-1,35.68659021,127.3823785,영업,,1986-01-09,99,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
동신마을회관,마을회관및경로당,전라북도 진안군 백운면 동남로 22,전라북도 진안군 백운면 동창리 663-9,35.67830902,127.3910517,영업,,1999-07-27,121,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
두원마을회관,마을회관및경로당,전라북도 진안군 백운면 두원길 50,전라북도 진안군 백운면 반송리 435-1,35.66375922,127.4025503,영업,,1996-10-08,124,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
무등마을회관,마을회관및경로당,전라북도 진안군 백운면 무등길 23,전라북도 진안군 백운면 동창리 520,35.67397441,127.3876261,영업,,2012-10-24,85,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
미비마을회관,마을회관및경로당,전라북도 진안군 백운면 평노길 351,전라북도 진안군 백운면 노촌리 937-5,35.71162085,127.4396325,영업,,2019-07-02,98,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
반송마을회관,마을회관및경로당,전라북도 진안군 백운면 반송길 7,전라북도 진안군 백운면 반송리 297-1,35.66778696,127.4022214,영업,,1986-01-09,61,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
백운동경로당,마을회관및경로당,전라북도 진안군 백운면 백운동로 325-8,전라북도 진안군 백운면 백암리 105,35.68155079,127.4278419,영업,,2005-01-12,99,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
번덕마을회관,마을회관및경로당,전라북도 진안군 백운면 번덕길 49,전라북도 진안군 백운면 동창리 134-1,35.68319977,127.4017575,영업,,2016-09-30,82,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
번암마을회관,마을회관및경로당,전라북도 진안군 백운면 번암길 10,전라북도 진안군 백운면 백암리 727-7,35.69348892,127.3941168,영업,,2007-12-14,126,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
상동마을회관,마을회관및경로당,전라북도 진안군 백운면 평노길 53,전라북도 진안군 백운면 평장리 109,35.71152351,127.4112304,영업,,2009-09-09,89,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
상백마을회관,마을회관및경로당,전라북도 진안군 백운면 상백암길 68,전라북도 진안군 백운면 백암리 207-4,35.68698926,127.4162707,영업,,1996-01-09,69,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
상서마을회관,마을회관및경로당,전라북도 진안군 백운면 상서2길 14,전라북도 진안군 백운면 덕현리 609,35.68019599,127.3790244,영업,,1986-01-09,36,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
석무마을회관,마을회관및경로당,전라북도 진안군 백운면 석전길 7,전라북도 진안군 백운면 동창리 366-5,35.6736394085,127.3938743530,영업,,2003-09-29,143,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
신마마을회관,마을회관및경로당,전라북도 진안군 백운면 마치길 13,전라북도 진안군 백운면 노촌리 264-1,35.72373138,127.4361628,영업,,2008-01-09,114,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
신전마을회관,마을회관및경로당,전라북도 진안군 백운면 신전길 5,전라북도 진안군 백운면 운교리 104-9,35.69951138,127.418862,영업,,2008-09-26,92,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
오정새마을회관,마을회관및경로당,전라북도 진안군 백운면 오정길 26,전라북도 진안군 백운면 남계리 291-1,35.67553267,127.3815753,영업,,1999-12-07,67,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
원노마을회관,마을회관및경로당,전라북도 진안군 백운면 원노길 1-2,전라북도 진안군 백운면 노촌리 632-1,35.71431994,127.4210151,영업,,2008-11-17,109,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
원산마을회관,마을회관및경로당,전라북도 진안군 백운면 하원산길 6,전라북도 진안군 백운면 운교리 934-1,35.70162991,127.3921353,영업,,2001-10-31,98,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
원덕마을회관,마을회관및경로당,전라북도 진안군 백운면 원덕길 43-1,전라북도 진안군 백운면 덕현리 558-2,35.67810141,127.3798311,영업,,2008-10-20,91,전라북도 진안군청,2023-06-30,4730000,전라북도 진안군
